genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_encoded,song_length,genre_encoded
Children's Music,The Neighbourhood,A Little Death,0Ot6e3wYVQQ1Us9PM977jE,60,0.0026,0.53,209707,0.763,1.86e-06,6,0.105,-4.712,0,0.0332,88.013,4.0,0.338,12776,352.052,5
Reggaeton,Trebol Clan,Hoy Vamos A Ver,5BqBSlBs46CwpD4V3nH2Hu,29,0.154,0.777,178913,0.925,0.0,0,0.215,-4.119,1,0.0756,95.997,4.0,0.634,13413,383.988,21
Rap,Quinn XCII,What The Hell Happened To Us,2lTkTb68hFcTlfdBVzGLek,61,0.316,0.695,217720,0.679,0.0,11,0.068,-6.576,1,0.0651,95.997,4.0,0.79,10187,383.988,19
Children's Music,Sevendust,Waffle,6cdsAW77vEinW62gwfZ1dZ,51,0.00058,0.479,210627,0.835,0.000101,3,0.0924,-5.988,1,0.1,191.615,4.0,0.694,11181,766.46,5
Pop,Sia,Helium (Sia vs. David Guetta & Afrojack),2ludbmtPoyCPe2K08fAlFl,68,0.0977,0.542,237372,0.587,0.0,4,0.2,-6.145,1,0.035,136.915,4.0,0.243,11300,547.66,17
Alternative,Arch Enemy,War Eternal,0WZZENH0kt3O2cBE8q5IRq,56,2.45e-05,0.445,256053,0.98,0.163,5,0.129,-4.369,0,0.0731,155.045,4.0,0.285,808,620.18,1
Comedy,Katt Williams,Money Makes It Better,1gIAzkx3ykA6vf0uEmuMVz,16,0.859,0.458,450227,0.939,0.0,5,0.919,-9.476,0,0.695,110.582,3.0,0.472,6802,331.746,7
R&B,THEY.,What I Know Now (feat. Wiz Khalifa),3wImXdE4bliIVSEl3lVue1,69,0.0812,0.615,180853,0.698,1.17e-06,6,0.18,-3.212,1,0.0485,80.024,4.0,0.437,12017,320.096,18
Blues,Dee Dee Sharp,Mashed Potato Time,6jouZcdraQvsbh7SWkLEui,42,0.0705,0.674,150867,0.473,4.79e-05,2,0.0593,-7.193,1,0.0362,125.046,4.0,0.847,3211,500.184,3
Alternative,Mom Jeans.,Danger Can't,5XtErGdHEcSjGh4KeDojm4,45,0.00952,0.655,214679,0.466,0.0,8,0.0751,-8.758,1,0.0511,150.968,4.0,0.638,8784,603.872,1
Electronic,Bent,Moonbeams,0FIRusUbd4gUsMGREpGge8,44,0.212,0.598,164507,0.657,0.042,0,0.288,-8.183,1,0.0329,130.026,4.0,0.586,1306,520.104,10
Reggae,The Holdup,The Moon and the Stars,4UP8HEiXCnr6CHYAKg14U4,31,0.136,0.797,255875,0.85,0.000172,4,0.0887,-5.964,1,0.0285,119.002,4.0,0.976,12617,476.008,20
World,Hillsong Young & Free,Wake - Remix,5NzAZJm7shOzfOgr1BEgMm,34,0.00492,0.739,201667,0.765,0.00416,7,0.135,-5.361,1,0.0357,117.994,4.0,0.398,5254,471.976,26
Hip-Hop,Toby Love,Tengo Un Amor (feat. Rakim & Ken-Y) - Remix Version,4mDWapOAzoFsHu8TPcP2R0,57,0.59,0.783,260293,0.608,0.0,8,0.158,-5.674,1,0.0345,134.005,4.0,0.914,13235,536.02,12
Reggaeton,Lyanno,Pa' Que Vuelvas,7kxNb4wurmBtqndlzREd0J,59,0.0583,0.814,206924,0.647,0.0,8,0.0854,-5.651,0,0.0443,93.977,4.0,0.604,7896,375.908,21
Ska,The English Beat,Sorry,1XGtuwtEkuBH4zpA4uUypL,20,0.000633,0.542,152400,0.785,2.51e-05,7,0.053,-8.789,1,0.0903,146.917,4.0,0.797,12510,587.668,23
Movie,Chantal Goya,Loup loup - Live,0RRlZCDValh5jz6EjGH1YC,8,0.412,0.39,246494,0.64,0.0,1,0.526,-9.582,1,0.12,177.998,4.0,0.694,2279,711.992,15
Reggaeton,Super Yei,Punto Final,2LHcrN4Iqal3510lpINdUz,46,0.256,0.74,235500,0.85,0.0,6,0.362,-3.342,0,0.257,159.927,4.0,0.815,11911,639.708,21
Blues,JJ Grey & Mofro,Footsteps,6wHwdI0GQ0fK9EslguDhjP,23,0.00343,0.482,139107,0.58,0.9,0,0.0937,-9.076,1,0.0276,82.082,4.0,0.486,5636,328.328,3
Blues,The Drifters,Saturday Night at the Movies,1R1e6Cw3elL8bSRuf2YPcz,38,0.244,0.735,147787,0.371,0.0,1,0.15,-12.573,1,0.0667,134.435,4.0,0.918,12484,537.74,3
Children's Music,Shinedown,Miracle,3Q9JtAAt8j9FCbuB8bCPeC,49,0.000122,0.553,218973,0.958,0.0,9,0.086,-3.088,1,0.0387,109.992,4.0,0.573,11256,439.968,5
Movie,Randy Newman,Lucy - Remastered Awakenings - Original Motion Picture Soundtrack,2oONzoMdgn27Hr1VXiDG9d,10,0.955,0.2,191440,0.0216,0.859,10,0.0977,-31.68,0,0.0392,134.462,4.0,0.0343,10313,537.848,15
Blues,Johnnie Taylor,Just Because,0iOL2YENPUSiTYNWxrkOEo,29,0.286,0.479,259467,0.501,0.0,1,0.108,-5.515,1,0.0295,135.768,4.0,0.226,6318,543.072,3
Children's Music,Daughtry,Home,2nXWKf0GXbFby4posGqEht,57,0.0021,0.45,255652,0.849,1.61e-06,6,0.195,-3.881,1,0.0344,143.904,4.0,0.336,3065,575.616,5
Classical,Debashish Bhattacharya,Raga Mishra Shivaranjani,3YLqvI4mIynHBm5oZd3kcp,35,0.563,0.484,452441,0.381,0.571,1,0.0701,-19.235,0,0.0551,123.082,4.0,0.546,3194,492.328,6
